index,magnitude,phase_angle,is_predicted,received_at
0,24801.626953125,-44.45006515612092,False,2023-06-14 07:39:27.279716
1,24801.626953125,-44.22088157361573,False,2023-06-14 07:39:27.305599
2,24801.626953125,-44.01461669087051,False,2023-06-14 07:39:27.328591
3,24801.51953125,-43.83126709279069,True,2023-06-14 07:39:28.397937
4,24801.626953125,-43.561980054573766,False,2023-06-14 07:39:27.375887
5,24801.626953125,-43.33279647206857,False,2023-06-14 07:39:27.402045
6,24801.626953125,-43.10361630465797,False,2023-06-14 07:39:27.424614
7,24801.626953125,-42.89162089319911,False,2023-06-14 07:39:27.456536
8,24801.626953125,-42.67389495302662,False,2023-06-14 07:39:27.497608
9,24801.626953125,-42.433253728188724,False,2023-06-14 07:39:27.689635
10,24801.626953125,-42.19261250335084,False,2023-06-14 07:39:27.729729
11,24801.626953125,-41.963428920845644,False,2023-06-14 07:39:27.827489
12,24810.78125,-41.73424533834045,False,2023-06-14 07:39:27.887723
13,24810.78125,-41.50506175583526,False,2023-06-14 07:39:27.906949
14,24801.626953125,-41.29306975947099,False,2023-06-14 07:39:27.925891
15,24801.626953125,-41.063886176965795,False,2023-06-14 07:39:27.942844
16,24801.626953125,-40.84043312317424,False,2023-06-14 07:39:27.960800
17,24801.626953125,-40.622707183001744,False,2023-06-14 07:39:27.978650
18,24801.626953125,-40.40498465792383,False,2023-06-14 07:39:27.997018
19,24801.626953125,-40.18153160413228,False,2023-06-14 07:39:28.015612
20,24801.626953125,-39.96380566395979,False,2023-06-14 07:39:28.032970
21,24801.626953125,-39.734622081454596,False,2023-06-14 07:39:28.050466
22,24801.626953125,-39.511169027663044,False,2023-06-14 07:39:28.068181
23,24801.59765625,-39.293443087490544,True,2023-06-14 07:39:28.398054
24,24801.626953125,-39.06426292007994,False,2023-06-14 07:39:28.104375
25,24801.626953125,-38.823621695242046,False,2023-06-14 07:39:28.125577
26,24801.66015625,-38.571515997882294,True,2023-06-14 07:39:28.399320
27,24801.79296875,-38.3079389978115,True,2023-06-14 07:39:28.399879
28,24801.626953125,-38.611626283783195,False,2023-06-14 07:39:28.180785
29,24801.626953125,-38.393900343610696,False,2023-06-14 07:39:28.198566
30,24801.626953125,-38.18190834724643,False,2023-06-14 07:39:28.216458
31,24792.470703125,-37.96418240707393,False,2023-06-14 07:39:28.234108
32,24792.470703125,-37.740729353282376,False,2023-06-14 07:39:28.252756
33,24792.470703125,-37.51154577077718,False,2023-06-14 07:39:28.270872
34,24792.5,-37.276628244463765,True,2023-06-14 07:39:28.399900
35,24792.470703125,-37.10474653400039,False,2023-06-14 07:39:28.306260
36,24792.470703125,-36.88129348020884,False,2023-06-14 07:39:28.325022
37,24792.470703125,-36.66357095513093,False,2023-06-14 07:39:28.343574
38,24792.470703125,-36.474494243432055,False,2023-06-14 07:39:28.400176
39,24792.470703125,-36.23384960349958,False,2023-06-14 07:39:28.420215
40,24792.751953125,-35.94163703533351,True,2023-06-14 07:39:29.459888
41,24792.470703125,-35.81559272439009,False,2023-06-14 07:39:28.458809
42,24792.470703125,-35.603597312931235,False,2023-06-14 07:39:28.478682
43,24793.1640625,-35.305661046240694,True,2023-06-14 07:39:29.460221
44,24783.31640625,-35.17387937639447,False,2023-06-14 07:39:28.515262
45,24783.31640625,-34.944695793889274,False,2023-06-14 07:39:28.534876
46,24783.31640625,-34.72124274009772,False,2023-06-14 07:39:28.553781
47,24783.31640625,-34.51497785735251,False,2023-06-14 07:39:28.571905
48,24783.31640625,-34.302982445893655,False,2023-06-14 07:39:28.590453
49,24783.31640625,-34.07379886338846,False,2023-06-14 07:39:28.610118
50,24783.31640625,-33.85034580959691,False,2023-06-14 07:39:28.627389
51,24783.31640625,-33.621162227091716,False,2023-06-14 07:39:28.646478
52,24783.345703125,-33.3862447007783,True,2023-06-14 07:39:29.460443
53,24783.31640625,-33.185717176935896,False,2023-06-14 07:39:28.682452
54,24783.31640625,-32.962260708049754,False,2023-06-14 07:39:28.700460
55,24783.31640625,-32.744538182971844,False,2023-06-14 07:39:28.717510
56,24783.31640625,-32.51535460046665,False,2023-06-14 07:39:28.736326
57,24783.31640625,-32.280440489247816,False,2023-06-14 07:39:28.754844
58,24783.31640625,-32.062717964169906,False,2023-06-14 07:39:28.773008
59,24783.31640625,-31.833534381664712,False,2023-06-14 07:39:28.791353
60,24783.375,-31.592886326637654,True,2023-06-14 07:39:29.460668
61,24774.16015625,-31.403816445127948,False,2023-06-14 07:39:28.827886
62,24755.44921875,-31.266164227690094,True,2023-06-14 07:39:29.460887
63,24774.16015625,-30.962640866258482,False,2023-06-14 07:39:28.864806
64,24783.31640625,-30.73345728375329,False,2023-06-14 07:39:28.911973
65,24774.16015625,-30.515731343580793,False,2023-06-14 07:39:28.931846
66,24774.16015625,-30.303739347216524,False,2023-06-14 07:39:28.952305
67,24774.16015625,-30.080282878330387,False,2023-06-14 07:39:28.971584
68,24774.21875,-29.845358521827798,True,2023-06-14 07:39:29.461196
69,24774.16015625,-29.644837828174563,False,2023-06-14 07:39:29.011625
70,24774.16015625,-29.432842416715708,False,2023-06-14 07:39:29.030144
71,24765.005859375,-29.215116476543212,False,2023-06-14 07:39:29.048065
72,24746.7265625,-28.99141070575237,True,2023-06-14 07:39:29.462806
73,24765.005859375,-28.785398540006444,False,2023-06-14 07:39:29.141527
74,24765.005859375,-28.550486136334904,False,2023-06-14 07:39:29.159686
75,24765.005859375,-28.33276361125699,False,2023-06-14 07:39:29.178787
76,24765.005859375,-28.120768199798135,False,2023-06-14 07:39:29.197367
77,24755.849609375,-27.92023384576656,False,2023-06-14 07:39:29.216384
