index,magnitude,phase_angle,is_predicted,received_at
0,24801.626953125,-44.45006515612092,False,2023-06-14 06:25:17.569051
1,24801.626953125,-44.22088157361573,False,2023-06-14 06:25:17.592549
2,24801.626953125,-44.01461669087051,False,2023-06-14 06:25:17.611651
3,24792.470703125,-43.79116363707896,False,2023-06-14 06:25:17.630312
4,24801.626953125,-43.561980054573766,False,2023-06-14 06:25:17.648784
5,24801.626953125,-43.33279647206857,False,2023-06-14 06:25:17.666968
6,24801.626953125,-43.10361630465797,False,2023-06-14 06:25:17.684497
7,24801.626953125,-42.89162089319911,False,2023-06-14 06:25:17.702844
8,24801.626953125,-42.67389495302662,False,2023-06-14 06:25:17.721354
9,24801.626953125,-42.433253728188724,False,2023-06-14 06:25:17.739673
10,24801.626953125,-42.19261250335084,False,2023-06-14 06:25:17.758346
11,24801.626953125,-41.963428920845644,False,2023-06-14 06:25:17.776190
12,24810.78125,-41.73424533834045,False,2023-06-14 06:25:17.794388
13,24810.78125,-41.50506175583526,False,2023-06-14 06:25:17.812626
14,24801.626953125,-41.27562204123619,True,2023-06-14 06:25:18.852508
15,24801.626953125,-41.063886176965795,False,2023-06-14 06:25:17.849145
16,24810.693359375,-40.87008980455044,True,2023-06-14 06:25:18.852591
17,24801.626953125,-40.622707183001744,False,2023-06-14 06:25:17.887444
18,24801.626953125,-40.40498465792383,False,2023-06-14 06:25:17.902557
19,24801.626953125,-40.18153160413228,False,2023-06-14 06:25:17.921531
20,24801.626953125,-39.96380566395979,False,2023-06-14 06:25:17.939350
21,24801.626953125,-39.734622081454596,False,2023-06-14 06:25:17.957093
22,24801.626953125,-39.511169027663044,False,2023-06-14 06:25:17.975881
23,24801.626953125,-39.28198544515785,False,2023-06-14 06:25:17.995825
24,24801.626953125,-39.06426292007994,False,2023-06-14 06:25:18.013992
25,24801.626953125,-38.823621695242046,False,2023-06-14 06:25:18.033569
26,24801.626953125,-39.06426292007994,False,2023-06-14 06:25:18.051651
27,24801.626953125,-38.83507933757475,False,2023-06-14 06:25:18.069152
28,24801.626953125,-38.611626283783195,False,2023-06-14 06:25:18.087711
29,24801.59765625,-38.393900343610696,True,2023-06-14 06:25:18.852645
30,24801.626953125,-38.18190834724643,False,2023-06-14 06:25:18.123678
31,24792.470703125,-37.96418240707393,False,2023-06-14 06:25:18.142031
32,24792.470703125,-37.740729353282376,False,2023-06-14 06:25:18.160081
33,24801.65625,-37.51179507268189,True,2023-06-14 06:25:18.852716
34,24792.470703125,-37.31101141674561,False,2023-06-14 06:25:18.196443
35,24792.470703125,-37.10474653400039,False,2023-06-14 06:25:18.214252
36,24792.470703125,-36.88129348020884,False,2023-06-14 06:25:18.232306
37,24792.470703125,-36.66357095513093,False,2023-06-14 06:25:18.250737
38,24792.470703125,-36.474494243432055,False,2023-06-14 06:25:18.268381
39,24792.470703125,-36.23384960349958,False,2023-06-14 06:25:18.286673
40,24792.470703125,-36.02185760713531,False,2023-06-14 06:25:18.305449
41,24792.470703125,-35.81559272439009,False,2023-06-14 06:25:18.323620
42,24792.470703125,-35.603597312931235,False,2023-06-14 06:25:18.341990
43,24783.31640625,-35.38014425913968,False,2023-06-14 06:25:18.359884
44,24783.31640625,-35.17387937639447,False,2023-06-14 06:25:18.378253
45,24783.31640625,-34.944695793889274,False,2023-06-14 06:25:18.396300
46,24783.31640625,-34.72124274009772,False,2023-06-14 06:25:18.414044
47,24783.31640625,-34.51497785735251,False,2023-06-14 06:25:18.433513
48,24783.31640625,-34.302982445893655,False,2023-06-14 06:25:18.451571
49,24783.34375,-34.08525309062657,True,2023-06-14 06:25:18.853063
50,24783.31640625,-33.85034580959691,False,2023-06-14 06:25:18.486887
51,24783.326171875,-33.59825377261549,True,2023-06-14 06:25:18.853117
52,24792.470703125,-33.403439702013806,False,2023-06-14 06:25:18.522659
53,24783.31640625,-33.185717176935896,False,2023-06-14 06:25:18.540238
54,24783.31640625,-32.962260708049754,False,2023-06-14 06:25:18.558579
55,24783.31640625,-32.744538182971844,False,2023-06-14 06:25:18.576313
56,24783.31640625,-32.51535460046665,False,2023-06-14 06:25:18.594224
57,24783.31640625,-32.280440489247816,False,2023-06-14 06:25:18.612550
58,24783.31640625,-32.062717964169906,False,2023-06-14 06:25:18.631130
59,24783.31640625,-31.833534381664712,False,2023-06-14 06:25:18.648554
60,24783.31640625,-31.621542385300444,False,2023-06-14 06:25:18.666850
61,24774.16015625,-31.403816445127948,False,2023-06-14 06:25:18.684321
62,24774.16015625,-31.180363391336392,False,2023-06-14 06:25:18.702283
63,24774.16015625,-30.962640866258482,False,2023-06-14 06:25:18.720753
64,24783.31640625,-30.73345728375329,False,2023-06-14 06:25:18.738711
65,24774.16015625,-30.515731343580793,False,2023-06-14 06:25:18.757528
66,24774.16015625,-30.303739347216524,False,2023-06-14 06:25:18.775622
67,24774.16015625,-30.080282878330387,False,2023-06-14 06:25:18.793517
68,24774.16015625,-29.862560353252473,False,2023-06-14 06:25:18.812116
69,24774.16015625,-29.644837828174563,False,2023-06-14 06:25:18.829593
70,24774.16015625,-29.432842416715708,False,2023-06-14 06:25:18.847291
71,24765.005859375,-29.215116476543212,False,2023-06-14 06:25:18.865666
72,24765.005859375,-29.00312448017894,False,2023-06-14 06:25:18.885406
73,24765.005859375,-28.785398540006444,False,2023-06-14 06:25:18.902918
74,24765.005859375,-28.550486136334904,False,2023-06-14 06:25:18.921824
75,24765.005859375,-28.33276361125699,False,2023-06-14 06:25:18.940566
76,24765.005859375,-28.120768199798135,False,2023-06-14 06:25:18.958572
77,24755.849609375,-27.92023384576656,False,2023-06-14 06:25:18.976510
78,24755.849609375,-27.713968963021344,False,2023-06-14 06:25:18.994632
79,24765.03125,-27.502200655352393,True,2023-06-14 06:25:20.053284
80,24783.423828125,-27.28516627183336,True,2023-06-14 06:25:20.053520
81,24755.849609375,-27.043608094099397,False,2023-06-14 06:25:19.048655
82,24755.849609375,-26.820155040307846,False,2023-06-14 06:25:19.066472
83,24755.849609375,-26.590971457802652,False,2023-06-14 06:25:19.083353
84,24755.849609375,-26.36178787529746,False,2023-06-14 06:25:19.102258
85,24755.849609375,-26.11541612174593,False,2023-06-14 06:25:19.120887
86,24755.849609375,-26.33314035437113,False,2023-06-14 06:25:19.139783
87,24755.849609375,-26.09249742198595,False,2023-06-14 06:25:19.156939
88,24765.005859375,-25.86331554702805,False,2023-06-14 06:25:19.175196
89,24783.2578125,-25.64583207857109,True,2023-06-14 06:25:20.054282
90,24755.849609375,-25.404948382017665,False,2023-06-14 06:25:19.211544
91,24682.908203125,-25.13924890066229,True,2023-06-14 06:25:20.054341
92,24765.005859375,-24.923664224794592,False,2023-06-14 06:25:19.248005
93,25001.892578125,-24.76170507164796,True,2023-06-14 06:25:20.054708
94,24765.005859375,-24.46529705978421,False,2023-06-14 06:25:19.283946
95,24765.005859375,-24.22465583494632,False,2023-06-14 06:25:19.302351
96,24765.005859375,-23.984012902561137,False,2023-06-14 06:25:19.320440
97,24765.005859375,-23.743371677723246,False,2023-06-14 06:25:19.338338
98,24765.005859375,-23.514188095218056,False,2023-06-14 06:25:19.356546
