index,magnitude,phase_angle,is_predicted,received_at
0,24801.626953125,-44.45006515612092,False,2023-09-06 13:07:33.668124
1,24801.626953125,-44.22088157361573,False,2023-09-06 13:07:33.685642
2,24801.626953125,-44.01461669087051,False,2023-09-06 13:07:33.703379
3,24792.470703125,-43.79116363707896,False,2023-09-06 13:07:33.721038
4,24801.626953125,-43.561980054573766,False,2023-09-06 13:07:33.738804
5,24801.626953125,-43.33279647206857,False,2023-09-06 13:07:33.756296
6,24801.626953125,-43.10361630465797,False,2023-09-06 13:07:33.773931
7,24801.626953125,-42.89162089319911,False,2023-09-06 13:07:33.791617
8,24801.626953125,-42.67389495302662,False,2023-09-06 13:07:33.809498
9,24801.626953125,-42.433253728188724,False,2023-09-06 13:07:33.827301
10,24801.626953125,-42.19261250335084,False,2023-09-06 13:07:33.844911
11,24801.626953125,-41.963428920845644,False,2023-09-06 13:07:33.862723
12,24810.78125,-41.73424533834045,False,2023-09-06 13:07:33.880255
13,24810.78125,-41.50506175583526,False,2023-09-06 13:07:33.898045
14,24801.626953125,-41.29306975947099,False,2023-09-06 13:07:33.915588
15,24801.626953125,-41.063886176965795,False,2023-09-06 13:07:33.933200
16,24801.626953125,-40.84043312317424,False,2023-09-06 13:07:33.951012
17,24801.626953125,-40.622707183001744,False,2023-09-06 13:07:33.968581
18,24801.626953125,-40.40498465792383,False,2023-09-06 13:07:33.986279
19,24801.626953125,-40.18153160413228,False,2023-09-06 13:07:34.003894
20,24801.626953125,-39.96380566395979,False,2023-09-06 13:07:34.021690
21,24801.626953125,-39.734622081454596,False,2023-09-06 13:07:34.039458
22,24801.626953125,-39.511169027663044,False,2023-09-06 13:07:34.057153
23,24801.626953125,-39.28198544515785,False,2023-09-06 13:07:34.074823
24,24801.626953125,-39.06426292007994,False,2023-09-06 13:07:34.092366
25,24801.626953125,-38.823621695242046,False,2023-09-06 13:07:34.111444
26,24801.626953125,-39.06426292007994,False,2023-09-06 13:07:34.129272
27,24801.626953125,-38.83507933757475,False,2023-09-06 13:07:34.147094
28,24801.626953125,-38.611626283783195,False,2023-09-06 13:07:34.164794
29,24801.626953125,-38.393900343610696,False,2023-09-06 13:07:34.182297
30,24801.599609375,-38.18189810196267,True,2023-09-06 13:07:34.418916
31,24792.470703125,-37.96418240707393,False,2023-09-06 13:07:34.217606
32,24792.470703125,-37.740729353282376,False,2023-09-06 13:07:34.235369
33,24792.470703125,-37.51154577077718,False,2023-09-06 13:07:34.253047
34,24792.470703125,-37.31101141674561,False,2023-09-06 13:07:34.270863
35,24792.33984375,-37.13912287609307,True,2023-09-06 13:07:34.418997
36,24791.96875,-36.99587331863039,True,2023-09-06 13:07:34.419300
37,24792.470703125,-36.66357095513093,False,2023-09-06 13:07:34.323680
38,24792.470703125,-36.474494243432055,False,2023-09-06 13:07:34.341368
39,24792.470703125,-36.23384960349958,False,2023-09-06 13:07:34.359243
40,24792.751953125,-35.94163703533351,True,2023-09-06 13:07:34.419370
41,24792.470703125,-35.81559272439009,False,2023-09-06 13:07:34.394632
42,24791.15234375,-35.85570984048016,True,2023-09-06 13:07:34.631017
43,24783.31640625,-35.38014425913968,False,2023-09-06 13:07:34.430029
44,24783.31640625,-35.17387937639447,False,2023-09-06 13:07:34.447764
45,24789.89453125,-35.23709960735211,True,2023-09-06 13:07:34.631101
46,24783.31640625,-34.72124274009772,False,2023-09-06 13:07:34.483388
47,24783.31640625,-34.51497785735251,False,2023-09-06 13:07:34.501171
48,24783.31640625,-34.302982445893655,False,2023-09-06 13:07:34.519009
49,24783.31640625,-34.07379886338846,False,2023-09-06 13:07:34.536549
50,24783.31640625,-33.85034580959691,False,2023-09-06 13:07:34.554279
51,24783.31640625,-33.621162227091716,False,2023-09-06 13:07:34.571918
52,24783.345703125,-33.3862447007783,True,2023-09-06 13:07:34.631416
53,24783.31640625,-33.185717176935896,False,2023-09-06 13:07:34.607357
54,24783.31640625,-32.962260708049754,False,2023-09-06 13:07:34.625015
55,24783.31640625,-32.744538182971844,False,2023-09-06 13:07:34.642611
56,24783.31640625,-32.51535460046665,False,2023-09-06 13:07:34.660206
57,24783.31640625,-32.280440489247816,False,2023-09-06 13:07:34.678047
58,24783.34765625,-32.03979243422076,True,2023-09-06 13:07:34.914641
59,24783.31640625,-31.833534381664712,False,2023-09-06 13:07:34.713611
60,24783.31640625,-31.621542385300444,False,2023-09-06 13:07:34.731402
61,24774.16015625,-31.403816445127948,False,2023-09-06 13:07:34.749214
62,24774.16015625,-31.180363391336392,False,2023-09-06 13:07:34.767056
63,24774.16015625,-30.962640866258482,False,2023-09-06 13:07:34.784747
64,24783.31640625,-30.73345728375329,False,2023-09-06 13:07:34.802518
65,24801.6875,-30.49307560610386,True,2023-09-06 13:07:34.914716
66,24774.16015625,-30.303739347216524,False,2023-09-06 13:07:34.837995
67,24774.16015625,-30.080282878330387,False,2023-09-06 13:07:34.855645
68,24774.16015625,-29.862560353252473,False,2023-09-06 13:07:34.873206
69,24774.16015625,-29.644837828174563,False,2023-09-06 13:07:34.890985
70,24774.16015625,-29.432842416715708,False,2023-09-06 13:07:34.908608
71,24765.005859375,-29.215116476543212,False,2023-09-06 13:07:34.926281
72,24765.005859375,-29.00312448017894,False,2023-09-06 13:07:34.943847
73,24765.005859375,-28.785398540006444,False,2023-09-06 13:07:34.961675
