index,sent_at
0,2023-09-20 15:03:13.679569
1,2023-09-20 15:03:13.697327
2,2023-09-20 15:03:13.714819
3,2023-09-20 15:03:13.732507
4,2023-09-20 15:03:13.750259
5,2023-09-20 15:03:13.767874
6,2023-09-20 15:03:13.785662
7,2023-09-20 15:03:13.803476
8,2023-09-20 15:03:13.821435
9,2023-09-20 15:03:13.839055
10,2023-09-20 15:03:13.856954
11,2023-09-20 15:03:13.874854
12,2023-09-20 15:03:13.892750
13,2023-09-20 15:03:13.910470
14,2023-09-20 15:03:13.928248
15,2023-09-20 15:03:13.946020
16,2023-09-20 15:03:13.963840
17,2023-09-20 15:03:13.981801
18,2023-09-20 15:03:13.999385
19,2023-09-20 15:03:14.017285
20,2023-09-20 15:03:14.034894
21,2023-09-20 15:03:14.052782
22,2023-09-20 15:03:14.070780
23,2023-09-20 15:03:14.088677
24,2023-09-20 15:03:14.106653
25,2023-09-20 15:03:14.126305
26,2023-09-20 15:03:14.143982
27,2023-09-20 15:03:14.161885
28,2023-09-20 15:03:14.179651
29,2023-09-20 15:03:14.197593
30,2023-09-20 15:03:14.215218
31,2023-09-20 15:03:14.233126
32,2023-09-20 15:03:14.250756
33,2023-09-20 15:03:14.268437
34,2023-09-20 15:03:14.286236
35,2023-09-20 15:03:14.304001
36,2023-09-20 15:03:14.321951
37,2023-09-20 15:03:14.339905
38,2023-09-20 15:03:14.357837
39,2023-09-20 15:03:14.375454
40,2023-09-20 15:03:14.393342
41,2023-09-20 15:03:14.410965
42,2023-09-20 15:03:14.428858
43,2023-09-20 15:03:14.446820
44,2023-09-20 15:03:14.464723
45,2023-09-20 15:03:14.482715
46,2023-09-20 15:03:14.500410
47,2023-09-20 15:03:14.518139
48,2023-09-20 15:03:14.535851
49,2023-09-20 15:03:14.553795
50,2023-09-20 15:03:14.571407
51,2023-09-20 15:03:14.589306
52,2023-09-20 15:03:14.606921
53,2023-09-20 15:03:14.624823
54,2023-09-20 15:03:14.642807
55,2023-09-20 15:03:14.660530
56,2023-09-20 15:03:14.677945
57,2023-09-20 15:03:14.695207
58,2023-09-20 15:03:14.712420
59,2023-09-20 15:03:14.729679
60,2023-09-20 15:03:14.746986
61,2023-09-20 15:03:14.764772
62,2023-09-20 15:03:14.782709
63,2023-09-20 15:03:14.800564
64,2023-09-20 15:03:14.818226
65,2023-09-20 15:03:14.835901
66,2023-09-20 15:03:14.853847
67,2023-09-20 15:03:14.871471
68,2023-09-20 15:03:14.889218
69,2023-09-20 15:03:14.906876
70,2023-09-20 15:03:14.924770
71,2023-09-20 15:03:14.942741
72,2023-09-20 15:03:14.960663
73,2023-09-20 15:03:14.978386
74,2023-09-20 15:03:14.996273
75,2023-09-20 15:03:15.013846
76,2023-09-20 15:03:15.031438
77,2023-09-20 15:03:15.049124
78,2023-09-20 15:03:15.066841
79,2023-09-20 15:03:15.084532
80,2023-09-20 15:03:15.102290
81,2023-09-20 15:03:15.120089
82,2023-09-20 15:03:15.138000
83,2023-09-20 15:03:15.155801
84,2023-09-20 15:03:15.173753
85,2023-09-20 15:03:15.191409
86,2023-09-20 15:03:15.209307
87,2023-09-20 15:03:15.226940
88,2023-09-20 15:03:15.244590
89,2023-09-20 15:03:15.262516
90,2023-09-20 15:03:15.280404
91,2023-09-20 15:03:15.298398
92,2023-09-20 15:03:15.316103
93,2023-09-20 15:03:15.333862
94,2023-09-20 15:03:15.351462
95,2023-09-20 15:03:15.369134
96,2023-09-20 15:03:15.386740
97,2023-09-20 15:03:15.404626
98,2023-09-20 15:03:15.422588
99,2023-09-20 15:03:15.440472
100,2023-09-20 15:03:15.458452
101,2023-09-20 15:03:15.476344
102,2023-09-20 15:03:15.494320
103,2023-09-20 15:03:15.512047
104,2023-09-20 15:03:15.529832
105,2023-09-20 15:03:15.547432
106,2023-09-20 15:03:15.565177
107,2023-09-20 15:03:15.582871
108,2023-09-20 15:03:15.600762
109,2023-09-20 15:03:15.618508
110,2023-09-20 15:03:15.636220
111,2023-09-20 15:03:15.654213
112,2023-09-20 15:03:15.672097
113,2023-09-20 15:03:15.690056
114,2023-09-20 15:03:15.707836
115,2023-09-20 15:03:15.725725
116,2023-09-20 15:03:15.743343
117,2023-09-20 15:03:15.761258
118,2023-09-20 15:03:15.778868
119,2023-09-20 15:03:15.796769
120,2023-09-20 15:03:15.814700
121,2023-09-20 15:03:15.832593
122,2023-09-20 15:03:15.850565
123,2023-09-20 15:03:15.868255
124,2023-09-20 15:03:15.885968
125,2023-09-20 15:03:15.903779
126,2023-09-20 15:03:15.921667
127,2023-09-20 15:03:15.939281
128,2023-09-20 15:03:15.957173
129,2023-09-20 15:03:15.974819
130,2023-09-20 15:03:15.992710
131,2023-09-20 15:03:16.010710
132,2023-09-20 15:03:16.028432
133,2023-09-20 15:03:16.046190
134,2023-09-20 15:03:16.064203
135,2023-09-20 15:03:16.082208
136,2023-09-20 15:03:16.099955
137,2023-09-20 15:03:16.117862
138,2023-09-20 15:03:16.135469
139,2023-09-20 15:03:16.153275
140,2023-09-20 15:03:16.170890
141,2023-09-20 15:03:16.188792
142,2023-09-20 15:03:16.206512
143,2023-09-20 15:03:16.224410
144,2023-09-20 15:03:16.242399
145,2023-09-20 15:03:16.260334
146,2023-09-20 15:03:16.278166
147,2023-09-20 15:03:16.296040
148,2023-09-20 15:03:16.313937
149,2023-09-20 15:03:16.331552
150,2023-09-20 15:03:16.349447
151,2023-09-20 15:03:16.367061
152,2023-09-20 15:03:16.384984
153,2023-09-20 15:03:16.402569
154,2023-09-20 15:03:16.420527
155,2023-09-20 15:03:16.438473
156,2023-09-20 15:03:16.456407
157,2023-09-20 15:03:16.474510
158,2023-09-20 15:03:16.492451
159,2023-09-20 15:03:16.510535
160,2023-09-20 15:03:16.528518
161,2023-09-20 15:03:16.546355
162,2023-09-20 15:03:16.564284
163,2023-09-20 15:03:16.582350
164,2023-09-20 15:03:16.600318
165,2023-09-20 15:03:16.618053
166,2023-09-20 15:03:16.635862
167,2023-09-20 15:03:16.653713
168,2023-09-20 15:03:16.671426
169,2023-09-20 15:03:16.689401
170,2023-09-20 15:03:16.707100
171,2023-09-20 15:03:16.725073
172,2023-09-20 15:03:16.742947
173,2023-09-20 15:03:16.760924
174,2023-09-20 15:03:16.778850
175,2023-09-20 15:03:16.796597
176,2023-09-20 15:03:16.814663
177,2023-09-20 15:03:16.832633
178,2023-09-20 15:03:16.850701
179,2023-09-20 15:03:16.868470
180,2023-09-20 15:03:16.886266
181,2023-09-20 15:03:16.904241
182,2023-09-20 15:03:16.922325
183,2023-09-20 15:03:16.940300
184,2023-09-20 15:03:16.958379
185,2023-09-20 15:03:16.976154
186,2023-09-20 15:03:16.993939
187,2023-09-20 15:03:17.011876
188,2023-09-20 15:03:17.029617
189,2023-09-20 15:03:17.047278
190,2023-09-20 15:03:17.065211
191,2023-09-20 15:03:17.082881
192,2023-09-20 15:03:17.100632
193,2023-09-20 15:03:17.118439
194,2023-09-20 15:03:17.136114
195,2023-09-20 15:03:17.153887
196,2023-09-20 15:03:17.171630
197,2023-09-20 15:03:17.189563
198,2023-09-20 15:03:17.207183
199,2023-09-20 15:03:17.225079
200,2023-09-20 15:03:17.242873
201,2023-09-20 15:03:17.260775
202,2023-09-20 15:03:17.278595
203,2023-09-20 15:03:17.296272
204,2023-09-20 15:03:17.314231
205,2023-09-20 15:03:17.332023
206,2023-09-20 15:03:17.349982
